Currency ISO code,Currency name,Country name
AED,UAE Dirham,United Arab Emirates
AFN,Afghani,Afghanistan
ALL,Lek,Albania
AMD,Armeniam Dram,Armenia
ANG,Netherlands Antillian Guilder,Curaçao
ANG,Netherlands Antillian Guilder,Sint Maarten
AOA,Kwanza,Angola
ARS,Argentine Peso,Argentina
AUD,Australian Dollar,Australia
AUD,Australian Dollar,Christmas Island
AUD,Australian Dollar,Cocos (Keeling) Islands
AUD,Australian Dollar,Kiribati
AUD,Australian Dollar,Nauru
AUD,Australian Dollar,Tuvalu
AWG,Aruban Florin,Aruba
AZN,Azerbaijanian Manat,Azerbaijan
BAM,Convertible Mark,Bosnia and Herzegovina
BBD,Barbados Dollar,Barbados
BDT,Taka,Bangladesh
BGN,Bulgarian Lev,Bulgaria
BHD,Bahraini Dinar,Bahrain
BIF,Burundi Franc,Burundi
BMD,Bermudian Dollar,Bermuda
BND,Brunei Dollar,Brunei Darussalam
BOB,Boliviano,Bolivia (Plurinat.State)
BRL,Brazilian Real,Brazil
BSD,Bahamian Dollar,Bahamas
BTN,Ngultrum,Bhutan
BWP,Pula,Botswana
BYN,Belarusian Ruble,Belarus
BZD,Belize Dollar,Belize
CAD,Canadian Dollar,Canada
CDF,Congolese Franc,"Congo, Dem. Rep. of the"
CHF,Swiss Franc,Liechtenstein
CHF,Swiss Franc,Switzerland
CLP,Chilean Peso,Chile
CNY,Yuan Renminbi,China
COP,Colombian Peso,Colombia
CRC,Costa Rican Colón,Costa Rica
CUP,Cuban Peso,Cuba
CVE,Cabo Verde Escudo,Cabo Verde
CZK,Czech Koruna,Czechia
DJF,Djibouti Franc,Djibouti
DKK,Danish Krone,Denmark
DKK,Danish Krone,Faroe Islands
DKK,Danish Krone,Greenland
DOP,Dominican Peso,Dominican Republic
DZD,Algerian Dinar,Algeria
EGP,Egyptian Pound,Egypt
ERN,Nakfa,Eritrea
ETB,Ethiopian Birr,Ethiopia
EUR,Euro,Andorra
EUR,Euro,Austria
EUR,Euro,Belgium
EUR,Euro,Cyprus
EUR,Euro,Estonia
EUR,Euro,Finland
EUR,Euro,France
EUR,Euro,French Guiana
EUR,Euro,French Southern Terr
EUR,Euro,Germany
EUR,Euro,Greece
EUR,Euro,Guadeloupe
EUR,Euro,Ireland
EUR,Euro,Italy
EUR,Euro,Latvia
EUR,Euro,Lithuania
EUR,Euro,Luxembourg
EUR,Euro,Malta
EUR,Euro,Martinique
EUR,Euro,Mayotte
EUR,Euro,Montenegro
EUR,Euro,Netherlands
EUR,Euro,Portugal
EUR,Euro,Réunion
EUR,Euro,Saint Barthélemy
EUR,Euro,Saint-Martin
EUR,Euro,St. Pierre and Miquelon
EUR,Euro,Slovakia
EUR,Euro,Slovenia
EUR,Euro,Spain
FJD,Fiji Dollar,"Fiji, Republic of"
FKP,Falkland Islands Pound,Falkland Is.(Malvinas)
GBP,Pound Sterling,Channel Islands
GBP,Pound Sterling,Guernsey
GBP,Pound Sterling,Isle of Man
GBP,Pound Sterling,Jersey
GBP,Pound Sterling,United Kingdom
GEL,Lari,Georgia
GHS,Ghana Cedi,Ghana
GIP,Gibraltar Pound,Gibraltar
GMD,Dalasi,Gambia
GNF,Guinea Franc,Guinea
GTQ,Quetzal,Guatemala
GYD,Guyana Dollar,Guyana
HKD,Hong Kong Dollar,"China, Hong Kong SAR"
HNL,Lempira,Honduras
HRK,Croatian Kuna,Croatia
HTG,Gourde,Haiti
HUF,Forint,Hungary
IDR,Rupiah,Indonesia
ILS,New Israeli Sheqel,Israel
INR,Indian Rupee,India
IQD,Iraqi Dinar,Iraq
IRR,Iranian Rial,Iran (Islamic Rep. of)
ISK,Iceland Króna,Iceland
JMD,Jamaican Dollar,Jamaica
JOD,Jordanian Dinar,Jordan
JPY,Yen,Japan
KES,Kenyan Shilling,Kenya
KGS,Som,Kyrgyzstan
KHR,Riel,Cambodia
KMF,Comoro Franc,Comoros
KPW,North Korean Won,"Korea, Dem. People's Rep"
KRW,Won,"Korea, Republic of"
KWD,Kuwaiti Dinar,Kuwait
KYD,Cayman Islands Dollar,Cayman Islands
KZT,Tenge,Kazakhstan
LAK,Kip,Lao People's Dem. Rep.
LBP,Lebanese Pound,Lebanon
LKR,Sri Lanka Rupee,Sri Lanka
LRD,Liberian Dollar,Liberia
LSL,Loti,Lesotho
LYD,Libyan Dinar,Libya
MAD,Moroccan Dirham,Morocco
MAD,Moroccan Dirham,Western Sahara
MDL,Moldovan Leu,"Moldova, Republic of"
MGA,Malagasy Ariary,Madagascar
MKD,Denar,"Macedonia, Fmr Yug Rp of"
MMK,Kyat,Myanmar
MNT,Tugrik,Mongolia
MOP,Pataca,"China, Macao SAR"
MRO,Ouguiya,Mauritania
MUR,Mauritius Rupee,Mauritius
MVR,Rufiyaa,Maldives
MWK,Malawi Kwacha,Malawi
MXN,Mexican Peso,Mexico
MYR,Malaysian Ringgit,Malaysia
MZN,Metical,Mozambique
NAD,Namibian Dollar,Namibia
NGN,Naira,Nigeria
NIO,Córdoba Oro,Nicaragua
NOK,Norwegian Krone,Norway
NPR,Nepalese Rupee,Nepal
NZD,New Zealand Dollar,Cook Islands
NZD,New Zealand Dollar,New Zealand
NZD,New Zealand Dollar,Niue
NZD,New Zealand Dollar,Pitcairn Islands
NZD,New Zealand Dollar,Tokelau
OMR,Rial Omani,Oman
PAB,Balboa,Panama
PEN,Sol,Peru
PGK,Kina,Papua New Guinea
PHP,Philippine Peso,Philippines
PKR,Pakistan Rupee,Pakistan
PLN,Zloty,Poland
PYG,Guaraní,Paraguay
QAR,Qatari Rial,Qatar
RON,Romanian Leu,Romania
RSD,Serbian Dinar,Serbia
RUB,Russian Ruble,Russian Federation
RWF,Rwanda Franc,Rwanda
SAR,Saudi Riyal,Saudi Arabia
SBD,Solomon Islands Dollar,Solomon Islands
SCR,Seychelles Rupee,Seychelles
SDG,Sudanese Pound,Sudan
SEK,Swedish Krona,Sweden
SGD,Singapore Dollar,Singapore
SHP,Saint Helena Pound,Saint Helena
SLL,Leone,Sierra Leone
SOS,Somali Shilling,Somalia
SRD,Suriname Dollar,Suriname
SSP,South Sudanese Pound,South Sudan
STD,Dobra,Sao Tome and Principe
SYP,Syrian Pound,Syrian Arab Republic
SZL,Lilangeni,Swaziland
THB,Baht,Thailand
TJS,Somoni,Tajikistan
TMT,Turkmenistan New Manat,Turkmenistan
TND,Tunisian Dinar,Tunisia
TOP,Pa'anga,Tonga
TRY,Turkish Lira,Turkey
TTD,Trinidad and Tobago Dollar,Trinidad and Tobago
TWD,New Taiwan Dollar,Taiwan Province of China
TZS,Tanzanian Shilling,"Tanzania, United Rep. of"
UAH,Hryvnia,Ukraine
UGX,Uganda Shilling,Uganda
USD,US Dollar,American Samoa
USD,US Dollar,Bonaire/S.Eustatius/Saba
USD,US Dollar,British Indian Ocean Ter
USD,US Dollar,British Virgin Islands
USD,US Dollar,Ecuador
USD,US Dollar,El Salvador
USD,US Dollar,Guam
USD,US Dollar,Marshall Islands
USD,US Dollar,"Micronesia,Fed.States of"
USD,US Dollar,Northern Mariana Is.
USD,US Dollar,Palau
USD,US Dollar,Puerto Rico
USD,US Dollar,Timor-Leste
USD,US Dollar,Turks and Caicos Is.
USD,US Dollar,United States of America
USD,US Dollar,US Virgin Islands
UYU,Peso Uruguayo,Uruguay
UZS,Uzbekistan Sum,Uzbekistan
VEF,Bolívar,"Venezuela, Boliv Rep of"
VND,Dong,Viet Nam
VUV,Vatu,Vanuatu
WST,Tala,Samoa
XAF,CFA Franc (BEAC),Cameroon
XAF,CFA Franc (BEAC),Central African Republic
XAF,CFA Franc (BEAC),Chad
XAF,CFA Franc (BEAC),Congo
XAF,CFA Franc (BEAC),Equatorial Guinea
XAF,CFA Franc (BEAC),Gabon
XCD,East Caribbean Dollar,Anguilla
XCD,East Caribbean Dollar,Antigua and Barbuda
XCD,East Caribbean Dollar,Dominica
XCD,East Caribbean Dollar,Grenada
XCD,East Caribbean Dollar,Montserrat
XCD,East Caribbean Dollar,Saint Kitts and Nevis
XCD,East Caribbean Dollar,Saint Lucia
XCD,East Caribbean Dollar,Saint Vincent/Grenadines
XOF,CFA Franc (BCEAO),Benin
XOF,CFA Franc (BCEAO),Burkina Faso
XOF,CFA Franc (BCEAO),Côte d'Ivoire
XOF,CFA Franc (BCEAO),Guinea-Bissau
XOF,CFA Franc (BCEAO),Mali
XOF,CFA Franc (BCEAO),Niger
XOF,CFA Franc (BCEAO),Senegal
XOF,CFA Franc (BCEAO),Togo
XPF,CFP Franc,French Polynesia
XPF,CFP Franc,New Caledonia
XPF,CFP Franc,Wallis and Futuna Is.
YER,Yemeni Rial,Yemen
ZAR,Rand,South Africa
ZMW,Zambian Kwacha,Zambia
ZWL,Zimbabwe Dollar,Zimbabwe
