,Repository Name,Programming Language,Description,Last Update,Total Star,Repository Link
0,Python_Practice,Python,Python Practice codes are stored here,"Jun 19, 2024",1,https://github.com/mdzaif/Python_Practice
1,My_Setup,Shell,Configuration guide for my personal environment setup,"Jun 14, 2024",0,https://github.com/mdzaif/My_Setup
2,AI,Prolog,Codes from Aritificial Intelligence Lab Course,"Jun 4, 2024",0,https://github.com/mdzaif/AI
3,mdzaif,No Programming Language Found,Customize github account,"May 30, 2024",0,https://github.com/mdzaif/mdzaif
4,portfolio,HTML,My portfolio,"May 24, 2024",1,https://github.com/mdzaif/portfolio
5,ansible_learn,Jinja,Basic Ansible instructions for server maintenance,"May 7, 2024",0,https://github.com/mdzaif/ansible_learn
6,Shell_Scripting,Shell,Created Shell Script for learning,"May 3, 2024",0,https://github.com/mdzaif/Shell_Scripting
7,Python_Script,Python,No Description Found,"May 3, 2024",0,https://github.com/mdzaif/Python_Script
8,CPP_Practice,C++,C++ practice code,"Apr 18, 2024",1,https://github.com/mdzaif/CPP_Practice
9,C_Practice,C,C programming practice code,"Apr 7, 2024",1,https://github.com/mdzaif/C_Practice
10,Routine_Generator,Dart,My university project,"Aug 7, 2023",0,https://github.com/mdzaif/Routine_Generator
11,Hackerrank_bash,Shell,Solved problem from Hackerrank on Bash,"Jul 22, 2023",0,https://github.com/mdzaif/Hackerrank_bash
12,DIGITAL_CLOCK,C++,Digital clock using C++,"May 26, 2023",0,https://github.com/mdzaif/DIGITAL_CLOCK
13,my_calendar,C,Shows the calendar which year is given input by the user.,"Jul 10, 2022",0,https://github.com/mdzaif/my_calendar
14,My_Basic_Code,C,"Print the ""Hello World"" with c","Oct 16, 2021",0,https://github.com/mdzaif/My_Basic_Code
